gene,mean_expression
HIF1A,0.9177808354035119
TMA7,0.9174452160565268
SON,0.9152519422897835
VMP1,0.9144693403844012
ATP5G2,0.913193902037791
GPX1,0.9126399058774607
ACTR3,0.9120361519274333
PSMA4,0.9115999556140394
ENG,0.9088960759687108
TUFM,0.9077983431468736
KRT15,0.9064048180319616
DAZAP2,0.9062749630962776
FBN1,0.9056623093290439
ATP5H,0.9046198067730231
EIF2S2,0.9030128947847726
CALD1,0.9015650085808821
CCT6A,0.8991911910622326
HNRNPM,0.8977646130007624
TIMM8B,0.8975124559457729
PSMD2,0.896916703129841
UBL5,0.8956215812374424
CTTN,0.8952942992875118
APLP2,0.892860188389456
PARK7,0.8926902082286133
CTNNA1,0.8921883093402875
SERPINF1,0.8915561764494867
YWHAG,0.8914682668269864
CTSA,0.8890691800228018
PSMB6,0.8878140521562652
VAMP8,0.887799511534094
NDUFB10,0.8873744443651067
LGALS3BP,0.8870466067301517
SULF2,0.8858346929712011
CLSTN1,0.8849826012028764
NAP1L1,0.8830579499041797
CCDC80,0.8828519519097757
NDUFB1,0.8823486163422761
SRRM2,0.8811697447240747
SF1,0.8808058330554835
PA2G4,0.8785801202502866
PDIA3,0.8780660574996708
SLC7A5,0.8779303150757259
COPS9,0.8778777876437105
CYCS,0.8774118832010307
DHCR24,0.8772938492282337
AC012005.1,0.875903995423917
SERPINB3,0.8736875188962513
PSMC5,0.8699620615271543
EIF5B,0.8696293172161311
NEDD8,0.8695051440142638
AP2M1,0.8693293463315396
DDX3X,0.8688277177858037
VDAC1,0.8680812790496459
ITGB4,0.8678258470450806
KDELR2,0.867542013377938
SEPT9,0.8673994229329343
RHOC,0.867107612901176
MMP14,0.8668484714943052
MYL9,0.8666648438681435
PDIA6,0.8665909867314313
NDUFB4,0.8650125317916965
QARS,0.8625133186578751
MORF4L2,0.8622272098005213
RPL23A,0.8621836634759872
RAB11A,0.8610209172332524
JUNB,0.8598034645103856
COL5A1,0.8596663938107475
ATF4,0.8592179410702345
MIDN,0.8587732593843479
IMPA2,0.8586322356336165
KLF6,0.8583787736168366
IMPDH2,0.8553093955019452
TIMP2,0.8549111855296504
FBL,0.8545543265263766
CEBPB,0.8545296865681938
CAST,0.8538237863917224
PSMD1,0.8536683315078154
MKNK2,0.8533466910783029
FBLN1,0.8531331248729435
APCDD1,0.8517898867856588
GLO1,0.8508206892092496
SSR2,0.85062906037498
JTB,0.8500602512762246
GSTO1,0.8495016923507318
GHITM,0.84824274949088
KDELR1,0.8466605934875691
C19orf33,0.8463975559944743
PTPRF,0.8461388467952905
DDX21,0.8459395485011157
SRSF5,0.8452860124359857
H1FX,0.8451439515249619
MTPN,0.8444452339055523
HNRNPF,0.8443131572659442
XRCC5,0.8441224274355055
KLK10,0.8439283585607611
UBA1,0.8422123232720703
RAD23B,0.8421811340561766
MAP2K2,0.8415275551872143
LAMTOR1,0.8408539360327436
KRT75,0.8403171526379143
PTP4A2,0.8375886815865308
ITGB5,0.8372029746012972
BRK1,0.837161756410504
DCTN2,0.8359031636785987
SEPW1,0.8353129941600048
IRAK1,0.8352360685436141
MAL2,0.8349411843332234
A2ML1,0.8334798070768646
NOTCH3,0.831021556643066
MDH2,0.8304254385019769
ZYX,0.8300438921972616
SNX3,0.8271727066561086
CKAP4,0.8258789398318884
RAB10,0.8240823324350331
LAPTM5,0.8238917310654328
RNH1,0.82345698838005
SERP1,0.8229308673088124
EPAS1,0.8224000054479434
RABAC1,0.8221548496690018
AKR1C1,0.8221352984080251
PDCD4,0.8219667352884021
CCND1,0.8209964935451943
CBX3,0.8196272265832156
ATP6V1G1,0.8194392199646559
