gene,variance
ATF4,0.5351069521311412
GPX3,0.5350120052734367
ITGB5,0.5348633443238376
JTB,0.5345631493078086
ARPC3,0.5345402066741807
HNRNPC,0.5341967764959138
CALR,0.534188626176708
HDLBP,0.5341033713571208
UQCRB,0.5336788644451058
TGM1,0.5320587173139044
CRCT1,0.5314768269015051
LRP10,0.5313048941819353
EPAS1,0.5312630985956517
MTPN,0.5311970828326305
CTSA,0.5302724219790131
NAP1L1,0.530112419078146
FGFR3,0.5299136466090869
RNH1,0.5296223589070369
NDUFB10,0.5295067019438542
GLO1,0.529484650229955
AKR1B10,0.529400362611807
LY6E,0.5293502987456258
TUFM,0.5288717307939562
DAZAP2,0.5264062276635704
PABPC1,0.5247290783434699
EIF3M,0.5245010733561353
CTNNA1,0.5242367264599479
SSR2,0.5235071800695229
TPSB2,0.523477977287047
EIF4G1,0.5234437426265256
RPL7,0.5231011626290155
SNX3,0.5230551499675393
NDUFB1,0.5229121079054875
SURF4,0.5225781704310898
QARS,0.5222227267894324
APLP2,0.5219188965886856
NEDD8,0.5215691987609319
RPS3,0.5214141868412978
PSMB1,0.5209743196816053
ID1,0.5207835491674333
DDX3X,0.5203764677107239
DDX21,0.5203756540233458
CXCL10,0.5203726069318623
KDELR2,0.5201046827701882
ASPRV1,0.5199698177639586
NOTCH3,0.5199579023239411
PPL,0.5199391851566861
LRP1,0.5193619861803833
ARPC4,0.5191789778687742
MAP2K2,0.5191578491530516
PARK7,0.5187812601909895
NDUFB4,0.5186646597824739
ACTR3,0.5184556420704525
HMOX1,0.5182899106827347
IMPDH2,0.5182454000890305
RRBP1,0.5177527793842003
VAMP8,0.5174277565803456
COX5A,0.5170449428018745
KDELR1,0.5169329446521537
H1FX,0.5167050093875419
MIDN,0.5163827456496445
RPL23A,0.5161000929213088
FXYD5,0.5159525353059142
PTP4A2,0.5158294526981922
SEPT9,0.5157152342848655
PSMC5,0.5156340791637551
YWHAG,0.5155695805958621
LGALSL,0.5151868645907244
C3,0.5145699976649315
CYB5R1,0.514427489174675
TMSB10,0.5142414928811019
ZYX,0.5139191590765738
JUNB,0.5139021965828061
WARS,0.5136565306715881
DNAJB6,0.5131971539033605
RAD23B,0.5131786841533694
SERP1,0.513156350928504
COL16A1,0.5130158158705823
HLA.B,0.5127063881650705
PDIA6,0.5125488010500642
MORF4L2,0.5122137363305586
CBX3,0.5121588482094757
PRRX1,0.5121456425093588
CAPG,0.5119439673550569
PSMD1,0.5118376204087458
