gene,variance
SON,0.5701575557218332
MRPL51,0.5698765104723237
SYNGR2,0.5696419507742727
RAB10,0.5693899637996769
ANXA5,0.5693457794529708
RAB11A,0.5693108684688567
RPL38,0.5692741978169701
S100A14,0.5692490969245206
TMED10,0.5687418387988744
RPS19,0.5685136883709141
ARPC5,0.5684465287560411
RPL26,0.5682299779870871
EIF3H,0.5682203671243924
ACTN4,0.5681841245425147
COL5A3,0.5680899096512271
PRDX6,0.5679025481235773
TXNIP,0.567888302571402
AKR1C1,0.5678538671430182
BTF3,0.5674800482808953
PLPP3,0.56726596080595
RPL6,0.5671832963504422
CD9,0.5666229594202
PA2G4,0.566383005526844
SET,0.5662647861946712
CYCS,0.5660296511178313
GDI2,0.5660156878312722
CCND1,0.5656611255218404
CLTC,0.5649417874926816
CTNNB1,0.5648099557121149
EIF6,0.5645821703474828
MCL1,0.56450252103077
DDX17,0.5644377424667986
DHCR24,0.5642789386011777
ATP5O,0.5641913068356565
OLFML2B,0.564145349835303
SEC61A1,0.5640364243825864
KTN1,0.5636855966510667
KLF5,0.5632819254651934
GPX1,0.5630695978960822
XBP1,0.5629412147836427
PCBP2,0.5621811032516517
PSMB3,0.5611202097683817
GNB1,0.5608478902231852
NPC2,0.56061901235468
PRSS23,0.5589413666481633
PMEPA1,0.5589032138149034
NDUFB9,0.5588466569836151
NACA2,0.5585786176081835
KLK5,0.5579008172444356
VMP1,0.5577407206351436
ATP6AP2,0.5574866068985366
SFPQ,0.557383892033793
PSMD2,0.5573064300107002
UBA52,0.5569507287239096
CCNI,0.5565693924432363
BSG,0.5565521099932533
HNRNPD,0.5564953198083945
GNAS,0.5557544215652288
TACSTD2,0.5552433238101109
TIMM8B,0.554621972501085
RPL15,0.5534113604856123
SRSF2,0.5533293851491635
RPL7A,0.5532496279669745
UQCR11,0.5528361019662655
PLTP,0.5524031358421094
COPS9,0.5522870903721632
ANXA2,0.5520001727093067
SERPING1,0.5516182043038252
SF3B5,0.551423480680262
SULF2,0.5511491384211166
EIF3F,0.5508365710571472
C1QB,0.55037584814544
RAB7A,0.549720875859507
AC012005.1,0.5496069744566666
PTPRF,0.5491035749163626
HNRNPF,0.5490260340492849
EIF5,0.5488123461480037
HNRNPM,0.5488045057246622
C19orf33,0.5479041807880257
ATP5G2,0.5478960062889492
RPL4,0.5470737713963988
SUMO2,0.5469305935119968
ENAH,0.546397867198519
RPS23,0.5463724460834104
CAST,0.5461861418684139
FBL,0.5461189746993951
TMA7,0.5456527209679343
PSMA4,0.5444435434146788
GSTO1,0.5443410534518988
PECAM1,0.5442380310133165
CCT6A,0.5442001749383703
UBL5,0.5441861496047916
VAPA,0.5439036507279507
IFITM2,0.543745716145351
GLUL,0.5429028488807849
FAM213A,0.5421678649020895
EIF2S2,0.5413238291760409
LGALS7,0.5410949486679826
VDAC1,0.5410878239673356
TMED2,0.540973923436554
SRRM2,0.5405930821563922
LDHB,0.5394171992421232
BICD2,0.538595184252472
EIF3A,0.5375662104412972
HIF1A,0.537023752587623
SEPW1,0.5370072694602029
RPL9,0.5362550642680126
FLNB,0.5360375282159582
EIF5B,0.5355288981199656
UQCR10,0.5354748438690724
ATF4,0.5351069521311398
GPX3,0.5350120052734362
ITGB5,0.5348633443238388
JTB,0.5345631493078086
ARPC3,0.5345402066741797
HNRNPC,0.5341967764959122
CALR,0.5341886261767069
HDLBP,0.534103371357119
UQCRB,0.5336788644451037
TGM1,0.5320587173139033
CRCT1,0.5314768269015083
LRP10,0.5313048941819346
EPAS1,0.5312630985956505
MTPN,0.5311970828326281
CTSA,0.5302724219790134
NAP1L1,0.5301124190781481
FGFR3,0.5299136466090892
RNH1,0.5296223589070369
NDUFB10,0.5295067019438545
GLO1,0.5294846502299558
AKR1B10,0.529400362611807
LY6E,0.5293502987456284
TUFM,0.5288717307939569
DAZAP2,0.5264062276635694
PABPC1,0.5247290783434696
EIF3M,0.5245010733561372
CTNNA1,0.5242367264599486
SSR2,0.5235071800695238
TPSB2,0.5234779772870511
EIF4G1,0.5234437426265266
RPL7,0.5231011626290153
SNX3,0.5230551499675404
NDUFB1,0.5229121079054869
SURF4,0.5225781704310922
QARS,0.5222227267894327
APLP2,0.5219188965886844
NEDD8,0.521569198760931
RPS3,0.5214141868412975
PSMB1,0.5209743196816067
ID1,0.5207835491674346
DDX3X,0.5203764677107239
DDX21,0.5203756540233451
CXCL10,0.5203726069318586
KDELR2,0.5201046827701898
ASPRV1,0.5199698177639568
NOTCH3,0.5199579023239436
PPL,0.519939185156684
LRP1,0.5193619861803859
ARPC4,0.5191789778687754
MAP2K2,0.5191578491530521
PARK7,0.518781260190992
NDUFB4,0.5186646597824742
ACTR3,0.5184556420704525
HMOX1,0.518289910682735
IMPDH2,0.5182454000890312
RRBP1,0.5177527793842008
VAMP8,0.5174277565803449
COX5A,0.5170449428018751
KDELR1,0.5169329446521531
H1FX,0.516705009387544
MIDN,0.5163827456496456
RPL23A,0.5161000929213106
FXYD5,0.5159525353059121
PTP4A2,0.5158294526981935
SEPT9,0.5157152342848667
PSMC5,0.515634079163753
YWHAG,0.51556958059586
LGALSL,0.5151868645907256
C3,0.5145699976649283
CYB5R1,0.5144274891746743
TMSB10,0.514241492881102
ZYX,0.513919159076572
JUNB,0.5139021965828053
WARS,0.5136565306715863
DNAJB6,0.5131971539033604
RAD23B,0.5131786841533698
SERP1,0.5131563509285049
COL16A1,0.5130158158705812
HLA.B,0.5127063881650706
PDIA6,0.5125488010500655
MORF4L2,0.5122137363305578
CBX3,0.512158848209475
PRRX1,0.5121456425093582
CAPG,0.5119439673550569
PSMD1,0.5118376204087451
PDIA3,0.5117015719882769
GRINA,0.5108290736381692
CDC25B,0.5107733634181624
RAP1B,0.5099051975485541
ATP6V0B,0.5088816890036048
RBX1,0.5085990048449559
RPL3,0.5085690004381085
NFIC,0.5085560453166174
RPS11,0.5076712963368147
ARF6,0.5075206558666678
SF1,0.5069142513312643
XRCC5,0.5069113274398319
EMP1,0.5067753223055081
PLVAP,0.5065910274078713
HADHA,0.5063451047781412
PSMB6,0.5060098124870782
RPS25,0.505557502605347
MDH2,0.5046790853549142
TUBA1A,0.5045665646059858
ZNF207,0.5044155877657035
TCF4,0.5043939916886954
PLD3,0.5043477607257203
UBA1,0.5042414685452705
AP2M1,0.5039584411247098
COX6A1,0.5035200451617095
CNN2,0.5035097319950784
HMGN2,0.5034078011393978
DCTN2,0.5032297427775608
EIF3G,0.5031302211856152
ILF3,0.5024864131141275
ATP5J,0.5023298422224278
HN1,0.5022171687139462
NHP2,0.502185920940651
RPL30,0.5013570996265836
S100A13,0.501016925563967
GSN,0.5007867842750064
RPL14,0.5006765266638867
CTSZ,0.5006184250983634
LAMTOR1,0.49976454875837617
SELM,0.49973940009557105
NELL2,0.4995124945792869
CCT7,0.49948717107511575
HNRNPDL,0.4994511691542821
THBD,0.4992860835062242
C6orf62,0.499188042065001
HSBP1,0.49908658484024526
HMGA1,0.49871195964395393
CTTN,0.49867583795097276
EIF3E,0.498499943891123
RABAC1,0.49822380897711394
CCND2,0.4979415546348931
CST6,0.497806213361825
FMOD,0.49776480691526714
SPRR2G,0.49737293340418787
PTBP3,0.4971342491880428
VDAC2,0.4970716201442338
CKAP4,0.49617482942959956
KLF6,0.4960787974036213
NDUFA11,0.49591560234694965
CEBPB,0.4957809659076208
CD47,0.49550262333186484
